type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,REIwind03BfishE,-17.045141,-149.544081,-17.045141,-149.544081,2023-09-27T01:08,,Flag, Blue,,,,1.595406,,,2023/09/27 01:08:35+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 02:08:35,,,,,,,,,,,
WAYPOINT,REIwind03BfishS,-17.044928,-149.544259,-17.044928,-149.544259,2023-09-27T01:03,,Flag, Blue,,,,3.80366,,,2023/09/27 01:03:00+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 02:03:00,,,,,,,,,,,
WAYPOINT,REIwind03D,-17.04486,-149.544062,-17.04486,-149.544062,2023-09-27T00:54,,Flag, Blue,,,,9.399944,,,2023/09/27 00:54:44+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:54:44,,,,,,,,,,,
WAYPOINT,REIwind03C,-17.044882,-149.544159,-17.044882,-149.544159,2023-09-27T00:51,,Flag, Blue,,,,3.077742,,,2023/09/27 00:51:54+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:51:54,,,,,,,,,,,
WAYPOINT,REIwind03B,-17.044928,-149.544282,-17.044928,-149.544282,2023-09-27T00:49,,Flag, Blue,,,,10.967987,,,2023/09/27 00:49:29+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:49:29,,,,,,,,,,,
WAYPOINT,REIwind03A,-17.044909,-149.544315,-17.044909,-149.544315,2023-09-27T00:44,,Flag, Blue,,,,6.27096,,,2023/09/27 00:44:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:44:28,,,,,,,,,,,
WAYPOINT,REIwind02DfishE,-17.045264,-149.543917,-17.045264,-149.543917,2023-09-27T00:31,,Flag, Blue,,,,5.995521,,,2023/09/27 00:31:45+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:31:45,,,,,,,,,,,
WAYPOINT,REIwind02DfishS,-17.044981,-149.544018,-17.044981,-149.544018,2023-09-27T00:17,,Flag, Blue,,,,11.207733,,,2023/09/27 00:17:03+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:17:03,,,,,,,,,,,
WAYPOINT,REIwind02D,-17.045011,-149.544021,-17.045011,-149.544021,2023-09-27T00:16,,Flag, Blue,,,,14.406513,,,2023/09/27 00:16:05+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:16:05,,,,,,,,,,,
WAYPOINT,REIwind02C,-17.045043,-149.54411,-17.045043,-149.54411,2023-09-27T00:13,,Flag, Blue,,,,18.876265,,,2023/09/27 00:13:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:13:06,,,,,,,,,,,
WAYPOINT,REIwind02B,-17.045064,-149.544188,-17.045064,-149.544188,2023-09-27T00:10,,Flag, Blue,,,,16.569187,,,2023/09/27 00:10:02+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:10:02,,,,,,,,,,,
WAYPOINT,REIwind02A,-17.045065,-149.54429,-17.045065,-149.54429,2023-09-27T00:01,,Flag, Blue,,,,16.698624,,,2023/09/27 00:01:57+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 01:01:57,,,,,,,,,,,
WAYPOINT,REIwind01EfishE,-17.045708,-149.54349,-17.045708,-149.54349,2023-09-26T23:45,,Flag, Blue,,,,5.264318,,,2023/09/26 23:45:25+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 00:45:25,,,,,,,,,,,
WAYPOINT,REIwind01EfishS,-17.045484,-149.543606,-17.045484,-149.543606,2023-09-26T23:36,,Flag, Blue,,,,3.703906,,,2023/09/26 23:36:35+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 00:36:35,,,,,,,,,,,
WAYPOINT,REIwind01D,-17.04557,-149.543754,-17.04557,-149.543754,2023-09-26T23:33,,Flag, Blue,,,,10.773849,,,2023/09/26 23:33:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 00:33:46,,,,,,,,,,,
WAYPOINT,REIwind01C,-17.045599,-149.54386,-17.045599,-149.54386,2023-09-26T23:29,,Flag, Blue,,,,5.07231,,,2023/09/26 23:29:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 00:29:46,,,,,,,,,,,
WAYPOINT,REIwind01B,-17.045625,-149.543945,-17.045625,-149.543945,2023-09-26T23:15,,Flag, Blue,,,,8.869968,,,2023/09/26 23:15:55+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 00:15:55,,,,,,,,,,,
